date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:16:16	327/327	---M-Z	200	added ('OK')	text/plain	date:Thu,%2010%20Nov%202022%2005:56:15%20GMT	https://spabelles.com/robots.txt		(from )
17:16:16	78907/78907	---M-Z	200	added ('OK')	text/html	etag:W/%227c122206f36dcabdf1eec832c612cdc8--gzip%22	https://spabelles.com/	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day22/Web107/Site107/spabelles.com/index.html	(from )
17:16:18	43523/43523	---M-Z	200	added ('OK')	text/javascript	etag:%22f4b230dad791cfb9f8ea64c9781aadfb%22	http://assets.squarespace.com/@sqs/polyfiller/1.2.2/legacy.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day22/Web107/Site107/assets.squarespace.com/@sqs/polyfiller/1.2.2/legacy.js	(from https://spabelles.com/)
17:16:19	29100/29100	---M-Z	200	added ('OK')	text/javascript	date:Sun,%2013%20Nov%202022%2011:47:20%20GMT	http://use.typekit.net/ik/6ygl1PqeuZqgIB6U4Wpzx0PEUKTsEpdL-SvvmDIPHTXfe7CBfFHN4UJLFRbh52jhWD9awDwa5Ab3Z2JUweJtZAID5eZRwAI3Zg7eMPG0ieB8OAlTdPutwcjkO1FUiABkZWF3jAF8OcFzdPUCdhFydeyzSabCSagyjcmCdemDOcFzdPUXjA9l-h8lOW6kZRJ0SaBujW48Sagyjh90jhNlOYiaikoDSeBKZAUCZWw0jhNlOYiaikoXjA9l-h8lOW6kZRJ0SaBujW48Sagyjh90jhNlJ6U3ScNt-AuyOAozicIKIA4kjAoqdhtlZa4ziemDSWm8J68ciWsuScIlSYbK2cUXjkuKdhszdcqlwQSuH6qJ73IbMg6gJMJ7fbKCMsMMeMC6MKG4f5J7IMMjMkMfH6qJtkGbMg6FJMJ7fbKzMsMMeMb6MKG4fOMgIMMj2KMfH6GJCwbgIMMjgPMfH6GJCSbgIMMj2kMfH6qJnbIbMg6eJMJ7fbK0MsMMegM6MKG4fJCgIMMjgkMfH6qJRMIbMg6sJMJ7fbKTMsMMeM66MKG4fHGgIMMjIKMfH6qJKbIbMg64JMJ7fbKHMsMMegw6MKG4fOTbIMIjMPMfH6qJ0uMbMs6OJMJ7fbKv9gMgeMw6MKG4fOubIMIj2PMfH6qJl8MbMs6IJMJ7fbKa9gMgeMt6MKG4fOobIMIjgPMfH6qJzuMbMs6VJMJ7fbKt9gMgeMS6MKG4fO8bIMIjIPMfH6qJ3BMbMs64JMJ7fbRg9gMgegw6MKG4fJZmIMJjMkMfH6qJ6u9bMy6FJMJ7fbKImsMfeMb6MKG4fJmmIMJj2KMfH6qJxubbMy6BJMJ7fbKMmsMfeMv6MKG4fJBmIMJjgkMfH6qJ689bMy6sJMJ7fbKYmsMfeM66MKG4fJymIMJjIKMfH6qJxkCbMU6IJMJ7fbRrHUM2eMt6MTMgGihM039.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day22/Web107/Site107/use.typekit.net/ik/6ygl1PqeuZqgIB6U4Wpzx0PEUKTsEpdL-SvvmDIPHTXfe7CBfFHN4UJLFRbh52jhWD9awDwa5Ab3Z2JUweJtZAID5eZRwAI3Zg7eMPG0ieB8OAlTdPutwcjkO1FUiABkZWF3jAF8OcFz	(from https://spabelles.com/)
17:16:20	45387/45387	---M-Z	200	added ('OK')	text/javascript	etag:%2277f58e84b4e63d6823c5723e71415f95%22	http://assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-a534ac96c96d4629bda28-min.en-US.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day22/Web107/Site107/assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-a534ac96c96d4629bda28-min.en-US.js	(from https://spabelles.com/)
17:16:21	82046/82046	---M-Z	200	added ('OK')	text/javascript	etag:%2203e5ef7c77d113abf6178fce61ec6344%22	http://assets.squarespace.com/@sqs/polyfiller/1.2.2/modern.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day22/Web107/Site107/assets.squarespace.com/@sqs/polyfiller/1.2.2/modern.js	(from https://spabelles.com/)
17:16:23	121914/121914	---M-Z	200	added ('OK')	text/javascript	etag:%226831fbfbcaefb323e1bca77209107e61%22	http://assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-83b0e6eb9a2c7557ad4c0-min.en-US.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day22/Web107/Site107/assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-83b0e6eb9a2c7557ad4c0-min.en-US.js	(from https://spabelles.com/)
17:16:33	245971/245971	---M-Z	200	added ('OK')	text/javascript	etag:%22ff401016dabf83b96a4ad64dfbd64596%22	http://assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-9b2a74c45b27271fd111d-min.en-US.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day22/Web107/Site107/assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-9b2a74c45b27271fd111d-min.en-US.js	(from https://spabelles.com/)
17:16:36	575859/575859	---M-Z	200	added ('OK')	text/javascript	etag:%225c13c40151c71b4c8992acfa110f6acb%22	http://assets.squarespace.com/universal/scripts-compressed/extract-css-moment-js-vendor-98bddc81dc37f44faa7b2-min.en-US.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day22/Web107/Site107/assets.squarespace.com/universal/scripts-compressed/extract-css-moment-js-vendor-98bddc81dc37f44faa7b2-min.en-US.js	(from https://spabelles.com/)
17:16:36	17437/17437	---M-Z	200	added ('OK')	text/css	etag:%225f7edc78741eba31a70f333bcf16efef%22	http://assets.squarespace.com/universal/styles-compressed/commerce-42e904b2189a7c1684dd6-min.en-US.css	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day22/Web107/Site107/assets.squarespace.com/universal/styles-compressed/commerce-42e904b2189a7c1684dd6-min.en-US.css	(from https://spabelles.com/)
